command,category,standard_intent
车窗别开,车窗控制,关闭车窗
快点开,驾驶控制,调整车速
把音乐关了,娱乐系统,停止音乐
歌别放了,娱乐系统,停止音乐
把窗打开,车窗控制,打开车窗
安静一点,娱乐系统,停止音乐
把温度调低,空调控制,打开空调
把空调打开,空调控制,打开空调
音乐停一下,娱乐系统,停止音乐
升起车窗,车窗控制,关闭车窗
加快速度,驾驶控制,调整车速
灯关一下,灯光控制,关闭灯光
灯光开启,灯光控制,打开灯光
速度慢下来,驾驶控制,调整车速
车窗开开,车窗控制,打开车窗
音乐别放了,娱乐系统,停止音乐
开启大灯,灯光控制,打开灯光
关灯,灯光控制,关闭灯光
怎么走,导航系统,设置导航
降低速度,驾驶控制,调整车速
热死了开空调,空调控制,打开空调
空调关掉,空调控制,关闭空调
关窗户,车窗控制,关闭车窗
去这个地方,导航系统,设置导航
不开空调了,空调控制,关闭空调
把冷气打开,空调控制,打开空调
远光灯开启,灯光控制,打开灯光
空调关一下,空调控制,关闭空调
播放下一曲,娱乐系统,播放音乐
开下窗户,车窗控制,打开车窗
把雾灯关了,灯光控制,关闭灯光
停掉音乐,娱乐系统,停止音乐
近光灯关闭,灯光控制,关闭灯光
灯关了,灯光控制,关闭灯光
把空调开了,空调控制,打开空调
关空调,空调控制,关闭空调
不放了,娱乐系统,停止音乐
冷气关掉,空调控制,关闭空调
空调不要了,空调控制,关闭空调
有点冷关空调,空调控制,关闭空调
开空调,空调控制,打开空调
放首曲子,娱乐系统,播放音乐
去医院,导航系统,设置导航
车窗关死,车窗控制,关闭车窗
灯光关闭,灯光控制,关闭灯光
再快点,驾驶控制,调整车速
播放歌曲,娱乐系统,播放音乐
开快点,驾驶控制,调整车速
导航去商场,导航系统,设置导航
不想听了,娱乐系统,停止音乐
开个音乐,娱乐系统,播放音乐
把窗降下来,车窗控制,打开车窗
窗户关紧,车窗控制,关闭车窗
空调太热了,空调控制,打开空调
设目的地为家,导航系统,设置导航
切歌,娱乐系统,播放音乐
别放歌了,娱乐系统,停止音乐
目的地是公司,导航系统,设置导航
窗户开条缝,车窗控制,打开车窗
打开导航,导航系统,设置导航
温度降低,空调控制,打开空调
把窗升起来,车窗控制,关闭车窗
导航回家,导航系统,设置导航
大灯关闭,灯光控制,关闭灯光
找加油站,导航系统,设置导航
车窗开启,车窗控制,打开车窗
最近的医院,导航系统,设置导航
车窗开一下,车窗控制,打开车窗
降下车窗,车窗控制,打开车窗
音乐打开,娱乐系统,播放音乐
平稳驾驶,驾驶控制,调整车速
窗户别开,车窗控制,关闭车窗
阅读灯打开,灯光控制,打开灯光
歌曲关掉,娱乐系统,停止音乐
关一下灯,灯光控制,关闭灯光
打开车窗,车窗控制,打开车窗
车窗关了,车窗控制,关闭车窗
车内照明,灯光控制,打开灯光
把窗户开开,车窗控制,打开车窗
放点歌,娱乐系统,播放音乐
关闭空调,空调控制,关闭空调
把车窗打开,车窗控制,打开车窗
窗户全部打开,车窗控制,打开车窗
关闭大灯,灯光控制,关闭灯光
冷气关上,空调控制,关闭空调
远光打开,灯光控制,打开灯光
把车窗全打开,车窗控制,打开车窗
听歌,娱乐系统,播放音乐
关一下窗,车窗控制,关闭车窗
温度太高了,空调控制,打开空调
近光打开,灯光控制,打开灯光
查路线,导航系统,设置导航
回家导航,导航系统,设置导航
近光灯关掉,灯光控制,关闭灯光
窗户关闭,车窗控制,关闭车窗
开远光,灯光控制,打开灯光
开稳一点,驾驶控制,调整车速
播放停止,娱乐系统,停止音乐
打开音乐,娱乐系统,播放音乐
开点窗,车窗控制,打开车窗
空调停了,空调控制,关闭空调
窗户关掉,车窗控制,关闭车窗
开启空调,空调控制,打开空调
空调降温,空调控制,打开空调
灯开一下,灯光控制,打开灯光
关闭音乐,娱乐系统,停止音乐
音乐来一首,娱乐系统,播放音乐
把冷气关了,空调控制,关闭空调
冷气开一下,空调控制,打开空调
太慢了加速,驾驶控制,调整车速
通风一下,车窗控制,打开车窗
关好窗户,车窗控制,关闭车窗
开下空调,空调控制,打开空调
下一首,娱乐系统,播放音乐
制冷打开,空调控制,打开空调
雾灯打开,灯光控制,打开灯光
导航去医院,导航系统,设置导航
路线规划,导航系统,设置导航
车内照明关闭,灯光控制,关闭灯光
歌曲播放,娱乐系统,播放音乐
定速巡航,驾驶控制,调整车速
温度调高,空调控制,关闭空调
暂停音乐,娱乐系统,停止音乐
开一下窗,车窗控制,打开车窗
凉爽一点,空调控制,打开空调
把灯打开,灯光控制,打开灯光
换一首,娱乐系统,播放音乐
关窗,车窗控制,关闭车窗
车窗关闭,车窗控制,关闭车窗
慢一点,驾驶控制,调整车速
去商场怎么走,导航系统,设置导航
开启巡航,驾驶控制,调整车速
空调关闭,空调控制,关闭空调
关死窗户,车窗控制,关闭车窗
减速慢行,驾驶控制,调整车速
开窗户,车窗控制,打开车窗
雾灯关掉,灯光控制,关闭灯光
下一曲,娱乐系统,播放音乐
灯光关闭,灯光控制,关闭灯光
把灯光打开,灯光控制,打开灯光
巡航打开,驾驶控制,调整车速
静音,娱乐系统,停止音乐
音乐关了,娱乐系统,停止音乐
导航到公司,导航系统,设置导航
空调冷风,空调控制,打开空调
车窗关好,车窗控制,关闭车窗
帮我导航,导航系统,设置导航
打开空调,空调控制,打开空调
速度快点,驾驶控制,调整车速
冷气关闭,空调控制,关闭空调
音乐暂停,娱乐系统,停止音乐
天亮了关灯,灯光控制,关闭灯光
近光灯开启,灯光控制,打开灯光
关闭冷气,空调控制,关闭空调
把雾灯打开,灯光控制,打开灯光
阅读灯关闭,灯光控制,关闭灯光
开一下灯,灯光控制,打开灯光
开灯,灯光控制,打开灯光
来点音乐,娱乐系统,播放音乐
加速,驾驶控制,调整车速
车窗开一半,车窗控制,打开车窗
把灯关了,灯光控制,关闭灯光
我想听歌,娱乐系统,播放音乐
车灯打开,灯光控制,打开灯光
冷气关闭,空调控制,关闭空调
关上窗户,车窗控制,关闭车窗
导航到机场,导航系统,设置导航
开大点窗,车窗控制,打开车窗
速度慢点,驾驶控制,调整车速
车窗全开,车窗控制,打开车窗
远光关闭,灯光控制,关闭灯光
音乐播放,娱乐系统,播放音乐
近光灯,灯光控制,打开灯光
窗户关一下,车窗控制,关闭车窗
关闭车窗,车窗控制,关闭车窗
窗户关好,车窗控制,关闭车窗
打开车灯,灯光控制,打开灯光
把窗户关掉,车窗控制,关闭车窗
开大灯,灯光控制,打开灯光
开冷气,空调控制,打开空调
雾灯开启,灯光控制,打开灯光
放首歌,娱乐系统,播放音乐
关闭制冷,空调控制,关闭空调
关近光,灯光控制,关闭灯光
音乐停了,娱乐系统,停止音乐
窗户开启,车窗控制,打开车窗
把窗户打开,车窗控制,打开车窗
别响了,娱乐系统,停止音乐
近光关闭,灯光控制,关闭灯光
换个音乐,娱乐系统,播放音乐
空调关关,空调控制,关闭空调
放音乐,娱乐系统,播放音乐
不要空调了,空调控制,关闭空调
把冷气关上,空调控制,关闭空调
换首歌,娱乐系统,播放音乐
附近加油站,导航系统,设置导航
把音乐打开,娱乐系统,播放音乐
停止播放,娱乐系统,停止音乐
我要去机场,导航系统,设置导航
太暗了开灯,灯光控制,打开灯光
关掉歌曲,娱乐系统,停止音乐
关下空调,空调控制,关闭空调
车窗关掉,车窗控制,关闭车窗
远光灯关闭,灯光控制,关闭灯光
车窗透透气,车窗控制,打开车窗
开雾灯,灯光控制,打开灯光
开窗透气,车窗控制,打开车窗
想听音乐,娱乐系统,播放音乐
踩刹车,驾驶控制,调整车速
提高速度,驾驶控制,调整车速
别开窗,车窗控制,关闭车窗
车灯关闭,灯光控制,关闭灯光
匀速行驶,驾驶控制,调整车速
空调关上,空调控制,关闭空调
空调停止,空调控制,关闭空调
空调开启,空调控制,打开空调
公司路线,导航系统,设置导航
音乐关掉,娱乐系统,停止音乐
这首歌不好听,娱乐系统,播放音乐
车内灯关闭,灯光控制,关闭灯光
车内灯打开,灯光控制,打开灯光
窗户开一半,车窗控制,打开车窗
关掉空调,空调控制,关闭空调
太热了,空调控制,打开空调
空调关了,空调控制,关闭空调
关闭灯光,灯光控制,关闭灯光
打开窗户,车窗控制,打开车窗
减速,驾驶控制,调整车速
远光灯,灯光控制,打开灯光
别放了,娱乐系统,停止音乐
速度保持,驾驶控制,调整车速
我要回家,导航系统,设置导航
暖风打开,空调控制,关闭空调
空调打开,空调控制,打开空调
把车窗关上,车窗控制,关闭车窗
车窗打开一点,车窗控制,打开车窗
去公司怎么走,导航系统,设置导航
把空调关了,空调控制,关闭空调
大灯开启,灯光控制,打开灯光
开个窗缝,车窗控制,打开车窗
把灯光关了,灯光控制,关闭灯光
开慢点,驾驶控制,调整车速
空调制冷,空调控制,打开空调
音乐静音,娱乐系统,停止音乐
窗户打开,车窗控制,打开车窗
音乐开一下,娱乐系统,播放音乐
调低温度,空调控制,打开空调
设置目的地,导航系统,设置导航
不要开窗,车窗控制,关闭车窗
开个冷气,空调控制,打开空调
开启导航,导航系统,设置导航
冷气打开,空调控制,打开空调
天黑了开灯,灯光控制,打开灯光
把空调关掉,空调控制,关闭空调
提速,驾驶控制,调整车速
太吵了关掉,娱乐系统,停止音乐
导航到加油站,导航系统,设置导航
温度调低点,空调控制,打开空调
好热开空调,空调控制,打开空调
来首歌,娱乐系统,播放音乐
开阅读灯,灯光控制,打开灯光
关阅读灯,灯光控制,关闭灯光
